銘柄コード,銘柄名,市場区分,日経225採否,前日終値,時価総額,平均取引量,PBR,PER
8976,大和証券オフィス投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,367000.0,346869891072.0,1600.0,0.7081582,24.596985
8977,阪急阪神リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,169500.0,118323036160.0,1416.0,1.3667904,26.149214
8979,スターツプロシード投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,197700.0,53910929408.0,596.0,1.158107,20.263393
8984,大和ハウスリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,126400.0,583450034176.0,12069.0,0.57023466,25.201454
8985,ジャパン・ホテル・リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,85600.0,438852550656.0,16442.0,1.5867189,19.195442
8986,大和証券リビング投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,108000.0,259944120320.0,4294.0,1.3728764,19.34236
8987,ジャパンエクセレント投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,145400.0,192690733056.0,3054.0,1.2960553,23.538757
8995,誠建設工業,スタンダード（内国株式）,False,1211.0,2239088896.0,55439.0,0.5697425,48.119328
8996,ハウスフリーダム,スタンダード（内国株式）,False,876.0,3476423424.0,3719.0,1.0355374,7.1185346
8999,グランディハウス,プライム（内国株式）,False,578.0,16448251904.0,46741.0,0.68388104,33.725723
9001,東武鉄道,プライム（内国株式）,True,2761.0,536578424832.0,578339.0,0.9627295,10.800553
9003,相鉄ホールディングス,プライム（内国株式）,False,2625.0,251297972224.0,244482.0,1.384062,11.439493
9005,東急,プライム（内国株式）,True,1907.0,1077995634688.0,1495107.0,1.2913451,14.014982
9006,京浜急行電鉄,プライム（内国株式）,False,1593.0,428675891200.0,555087.0,1.1428134,17.921755
9007,小田急電鉄,プライム（内国株式）,True,1748.0,600848465920.0,935577.0,1.2498177,11.797601
9008,京王電鉄,プライム（内国株式）,True,3945.0,462530510848.0,418193.0,1.0957798,11.052081
9009,京成電鉄,プライム（内国株式）,True,1425.0,682621992960.0,1955828.0,1.3087102,9.790112
9010,富士急行,プライム（内国株式）,False,2358.0,128604086272.0,171446.0,3.6246145,25.174099
9012,秩父鉄道,スタンダード（内国株式）,False,2042.0,3001831680.0,206.0,0.5913766,25.976862
9017,新潟交通,スタンダード（内国株式）,False,2090.0,8027773440.0,839.0,0.41778696,7.3854203
9020,東日本旅客鉄道,プライム（内国株式）,True,3727.0,4192449593344.0,2583139.0,1.4433848,18.69074
9021,西日本旅客鉄道,プライム（内国株式）,True,3417.0,1557063532544.0,1621880.0,1.3500603,14.066273
9022,東海旅客鉄道,プライム（内国株式）,True,4152.0,4084024737792.0,2421387.0,0.86800957,9.002898
9023,東京地下鉄,プライム（内国株式）,False,1732.0,998819102720.0,3243393.0,1.4038744,17.246391
9024,西武ホールディングス,プライム（内国株式）,False,5687.0,1440617594880.0,1418650.0,2.6997435,6.2891755
9025,鴻池運輸,プライム（内国株式）,False,3330.0,175405596672.0,102498.0,1.2034864,12.483947
9028,ゼロ,スタンダード（内国株式）,False,3325.0,57696247808.0,53942.0,1.2957038,9.055398
9029,ヒガシホールディングス,スタンダード（内国株式）,False,1662.0,21779472384.0,20944.0,1.6036693,12.2240095
9031,西日本鉄道,プライム（内国株式）,False,2345.0,177151836160.0,218653.0,0.71657825,8.798935
9033,広島電鉄,スタンダード（内国株式）,False,645.0,19653789696.0,15353.0,0.4729124,14.247963
9034,南総通運,スタンダード（内国株式）,False,1459.0,13699624960.0,5660.0,0.61927605,10.505386
9036,東部ネットワーク,スタンダード（内国株式）,False,926.0,5160936448.0,7255.0,0.25366336,48.95778
9037,ハマキョウレックス,プライム（内国株式）,False,1560.0,115895902208.0,114341.0,1.2768643,13.0369625
9039,サカイ引越センター,プライム（内国株式）,False,2969.0,121287884800.0,63993.0,1.26096,13.839016
9041,近鉄グループホールディングス,プライム（内国株式）,False,3111.0,591051489280.0,799292.0,1.0855216,12.645969
9042,阪急阪神ホールディングス,プライム（内国株式）,False,4438.0,1054495604736.0,608258.0,1.0008352,15.779934
9044,南海電気鉄道,プライム（内国株式）,False,2751.0,302327955456.0,332933.0,0.98370135,13.873225
9045,京阪ホールディングス,プライム（内国株式）,False,3444.0,347441037312.0,284309.0,1.1201497,12.836855
9046,神戸電鉄,プライム（内国株式）,False,2563.0,20477343744.0,11200.0,0.8546676,18.031075
9048,名古屋鉄道,プライム（内国株式）,False,1761.0,344108105728.0,567695.0,0.74635434,10.46574
9049,京福電気鉄道,スタンダード（内国株式）,False,6720.0,13533104128.0,288.0,1.0478567,7.79533
9051,センコン物流,スタンダード（内国株式）,False,1532.0,7633872384.0,3014.0,1.2908169,15.139599
9052,山陽電気鉄道,プライム（内国株式）,False,2146.0,47438417920.0,37500.0,0.8181143,15.642171
9057,遠州トラック,スタンダード（内国株式）,False,3105.0,23196338176.0,3436.0,0.99380225,9.708586
9059,カンダホールディングス,スタンダード（内国株式）,False,848.0,18233186304.0,4928.0,0.6921721,8.25973
9060,日本ロジテム,スタンダード（内国株式）,False,4855.0,6574835200.0,877.0,0.42763063,14.245056
9063,岡山県貨物運送,スタンダード（内国株式）,False,3645.0,7387685888.0,1358.0,0.3138086,7.7160816
9064,ヤマトホールディングス,プライム（内国株式）,True,2462.0,776326283264.0,1387458.0,1.3970404,21.92755
9065,山九,プライム（内国株式）,False,8222.0,428614975488.0,199530.0,1.5075667,14.507282
9066,日新,プライム（内国株式）,False,8060.0,118611247104.0,47115.0,1.3760635,11.112488
9067,丸運,スタンダード（内国株式）,False,626.0,17706383360.0,92150.0,0.6986153,15.872605
9068,丸全昭和運輸,プライム（内国株式）,False,7230.0,139399217152.0,30177.0,1.0658385,14.544121
9069,センコーグループホールディングス,プライム（内国株式）,False,2100.0,359839793152.0,473701.0,1.6617507,19.294872
9072,ニッコンホールディングス,プライム（内国株式）,False,3390.0,410041909248.0,296617.0,1.6999856,27.487844
9073,京極運輸商事,スタンダード（内国株式）,False,1290.0,3708363008.0,1412.0,0.8823137,36.49222
9074,日本石油輸送,スタンダード（内国株式）,False,3580.0,12467917824.0,3603.0,0.48574924,9.869369
9075,福山通運,プライム（内国株式）,False,3720.0,137422225408.0,71012.0,0.4982664,17.133814
9076,セイノーホールディングス,プライム（内国株式）,False,2295.0,339343802368.0,492666.0,0.8625125,21.268658
9081,神奈川中央交通,プライム（内国株式）,False,3730.0,45893914624.0,7255.0,0.7744139,9.025097
9082,大和自動車交通,スタンダード（内国株式）,False,1165.0,5087834112.0,11863.0,0.5583175,38.898277
9083,神姫バス,スタンダード（内国株式）,False,3875.0,22918141952.0,2244.0,0.4576491,9.268744
9087,タカセ,スタンダード（内国株式）,False,1323.0,2659057920.0,1531.0,0.3684774,17.152859
9090,ＡＺ－ＣＯＭ丸和ホールディングス,プライム（内国株式）,False,1109.0,149748596736.0,293966.0,2.5254648,22.182325
9101,日本郵船,プライム（内国株式）,True,5597.0,2361555943424.0,2975211.0,0.857507,5.221698
9104,商船三井,プライム（内国株式）,True,4878.0,1662694719488.0,2807347.0,0.66312486,4.0873704
9107,川崎汽船,プライム（内国株式）,True,2331.0,1468927574016.0,4523642.0,0.90924585,5.0538964
9110,ＮＳユナイテッド海運,プライム（内国株式）,False,5450.0,129139490816.0,79076.0,0.7846666,6.9345145
9115,明海グループ,スタンダード（内国株式）,False,733.0,24601497600.0,59698.0,0.5049777,8.722329
9119,飯野海運,プライム（内国株式）,False,1238.0,129397071872.0,307593.0,0.90290487,7.0461483
9127,玉井商船,スタンダード（内国株式）,False,2150.0,4215447552.0,20988.0,0.46916527,2.0111053
9130,共栄タンカー,スタンダード（内国株式）,False,1073.0,8198302208.0,75061.0,0.3337257,1.6039021
9142,九州旅客鉄道,プライム（内国株式）,False,4163.0,647457144832.0,570111.0,1.4052433,15.004302
9143,ＳＧホールディングス,プライム（内国株式）,False,1614.0,949455749120.0,1877123.0,1.8274423,17.32258
9145,ビーイングホールディングス,スタンダード（内国株式）,False,3870.0,23466674176.0,20577.0,3.1044662,15.180451
9146,五健堂ホールディングス,PRO Market,False,0.0,5180000256.0,0.0,1.5159496,20.3666
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,プライム（内国株式）,True,3442.0,859309539328.0,1187174.0,1.0705185,31.036024
9149,大友ロジスティクスサービス,PRO Market,False,0.0,11200000000.0,0.0,0.0,8.306141
9156,はなホールディングス,PRO Market,False,0.0,534000000.0,0.0,1.2836539,9888.889
9158,シーユーシー,グロース（内国株式）,False,1203.0,34797260800.0,237128.0,1.1778914,11.111111
9159,Ｗ　ＴＯＫＹＯ,グロース（内国株式）,False,2608.0,6696150016.0,14052.0,4.3200502,32.084427
9160,ノバレーゼ,スタンダード（内国株式）,False,331.0,8299195904.0,17174.0,0.913605,9.191892
9162,ブリーチ,グロース（内国株式）,False,380.0,9529221120.0,115057.0,1.0066645,0.0
9163,ナレルグループ,グロース（内国株式）,False,2434.0,21142272000.0,48328.0,1.5138382,9.010923
9164,トライト,グロース（内国株式）,False,876.0,87799996416.0,489038.0,2.9096935,40.742462
9165,クオルテック,グロース（内国株式）,False,1461.0,3452150016.0,8066.0,0.0,13.849345
9166,ＧＥＮＤＡ,グロース（内国株式）,False,741.0,117288681472.0,2768601.0,3.013131,68.01887
9167,フトン巻きのジロー,PRO Market,False,0.0,2572499968.0,0.0,0.0,52.35602
9168,ライズ・コンサルティング・グループ,グロース（内国株式）,False,1083.0,26185320448.0,202514.0,4.062309,18.997175
